x,y,z
-18.8,-48.7,65
-51.8,-7.8,38.5
-18.4,-85.5,21.6
-47.2,-58,30.8
-38.1,48.8,10.5
-55.9,-47.7,-9.3
-14.4,-57.8,18.4
-8.8,-49.8,4.2
-11.3,-83.2,3.9
-1.7,-17.7,39.1
-10,33.9,21.5
-10.7,-47.5,60.3
-15.6,-33.1,66.1
-10.9,-29.3,69.5
-6.6,-20.4,74.2
-10.8,-41.1,64.9
-5,-28.2,60.4
-5.4,-15.9,48.8
-35.8,-29.7,54.5
-41.5,-12.5,50.4
-42.1,-4.5,47.3
-27.3,1.9,52.9
-19.8,6.4,55.7
-19.5,30.1,45.5
-36.8,-22.8,61.9
-20.5,-24.9,64.5
-23.4,-13.8,64.2
-17.2,-8.6,67.9
-28.6,-44.7,61.7
-31.1,-48.9,47.1
-42.9,-45,43
-51.5,-11.9,29.7
-51.7,-30.9,39.9
-27.5,-37.2,61.4
-47.2,-31.4,54.8
-46.1,-17.8,52.7
-44.8,-54,14.6
-51.6,-55.9,11.4
-48.1,-40,2.4
-46.3,-41.4,25.9
-52.7,-20.6,5.4
-58.7,-29.9,11.1
-40.6,-38.3,14.5
-38.7,-16,-5.3
-50,20.8,10.6
-37.7,2.9,11.7
-40.3,50.4,-4.8
-32.5,17.2,-7.8
-44.3,33.2,-7.2
-45.4,28.8,0.8
-20.4,-64.6,51.4
-34.1,-61,42.4
-31.3,-84.2,9
-34.2,-86.6,-0.5
-46.2,-57.7,-7.9
-55.1,-32.3,23
-43,19.4,33.5
-40.2,23.6,23.3
-48.6,7.5,11.1
-5.9,54.8,-11.3
-6.8,38.2,-9.4
-33.8,-33.2,-15.4
-28.8,-58.8,-9.1
-34.4,-63.9,-15.7
-34.3,-43.8,-21.6
-5.4,-88,18.6
-8.6,-77.5,-3.5
-22.6,-81.7,-11.7
-22.5,-37.1,-15
-15.9,48.6,37.2
-19.5,56.3,27.5
-21.3,63.1,1.9
-28.6,50.9,10.1
-6.5,54.7,18.1
-15.7,64.7,13.7
-26.2,26.6,38.8
-29.3,16.8,50.7
-41.7,16.1,47.5
-54.4,-1.4,-0.7
-59,-18,-3
20.8,-48.2,66.1
49.6,-7.4,36.1
22,-84.6,23.7
47.9,-42.5,41.5
38.1,45.9,7.7
59.7,-41,-10.9
13.8,-54.1,10.9
15.5,-74.1,9.4
6.7,5,55.9
8.4,34.7,22.6
3,-19.6,37.9
8.8,10.8,45.9
16.5,-32.8,67.7
4.8,-27.1,64.8
11.9,-40.7,67
5.1,-17.1,51.6
6.8,-8.1,50.9
42.3,-11,47.3
42.5,-2.3,47.2
29.2,1.9,52.4
21.9,21,46.2
38.1,-22.4,60.3
19.7,-25,65.2
12.4,-28.3,69.6
29.2,-13.5,64.2
17,-16.9,70.9
20.9,-6.4,65
29.5,-42.5,60.4
38.8,-42.6,40.4
53.9,-8.3,26.1
28,-34.8,63.1
39.2,-34.6,57.5
37.3,-25.9,50.9
47.8,-15.1,49.3
48.9,-53,28.6
57.5,-45.3,9
60.9,-38.7,1.7
54.9,-27,29.6
57.1,-17,-2.6
53.8,-15.8,5.2
47.4,-39.6,13.2
45.5,-37.3,3.4
48.5,-26.5,-0.1
60,-25.2,10.2
38.8,-14.4,-5
42.8,48.3,-5.1
45.2,30.7,-5.6
30.6,22.8,-4.7
7.7,-85.6,31.6
35.4,-77.1,21.1
41.5,-53.5,44
33.5,-48.2,49.4
31.7,-85.7,2.4
43.8,-67.2,2
57,-53.8,-1.1
37.8,28.7,35.6
41.8,29.1,21.6
50.1,3,3.9
38.6,18.8,25.5
28.4,57,-5.1
4.8,65.1,-7.1
7.2,48.4,-10.1
34.6,-35.6,-12.3
34.6,-23.9,-20.4
26.9,-69.1,-6.6
34.9,-44,-20
13.8,-92.3,14.7
10.5,-73.8,-1.5
20.4,-87.3,-6.6
5.1,-80.2,23.1
24.5,-36.2,-13.2
21,32.8,42.1
21.4,42.8,35.1
23.5,59.1,4.9
30.9,52.2,9.9
8.2,53.8,14
5.9,54.9,29.4
13.8,46.7,42.1
6.8,44.5,34.8
30.6,18.9,48.7
42.4,19.5,48.2
38.9,9.6,42.7
39.7,-22.5,2.6
55.8,2,-2
57.1,-6.3,-7.7
46.6,-21.5,-8.5
